name,n,win_rate,avg_pnl,med_pnl,total_pnl_sum,profit_factor,avg_win,avg_loss,max_win,max_loss,avg_hold_days,add_rate,breakdown,exit_mode,add_after_dd,target_dd,score
br=swing_low|ex=trail_ma20|add=None|tgt=None,19,0.15789473684210525,-0.008393060501692922,-0.01425039481105471,-0.15946814953216554,0.5642452140811611,0.06883010283116918,-0.022872403626604566,0.11738996447602132,-0.06986379136327589,10.789473684210526,0.0,swing_low,trail_ma20,,,-0.14367867584795502
br=both|ex=trail_ma20|add=None|tgt=None,19,0.15789473684210525,-0.008393060501692922,-0.01425039481105471,-0.15946814953216554,0.5642452140811611,0.06883010283116918,-0.022872403626604566,0.11738996447602132,-0.06986379136327589,10.789473684210526,0.0,both,trail_ma20,,,-0.14367867584795502
br=ma20|ex=macd_or_target|add=None|tgt=0.08,35,0.2571428571428571,-0.0049642451675149055,-0.018982781456953642,-0.1737485808630217,0.7328944713159277,0.0529708967009114,-0.025018717352739393,0.17129934354017876,-0.05403053636733035,13.314285714285715,0.0,ma20,macd_or_target,,0.08,-0.14803429514873598
br=both|ex=macd_or_target|add=None|tgt=0.05,19,0.21052631578947367,-0.011826292443331665,-0.013762116009565272,-0.22469955642330164,0.49125838705315134,0.054244403667251424,-0.029445144739487162,0.13412767103087714,-0.06986379136327589,10.894736842105264,0.0,both,macd_or_target,,0.05,-0.20364692484435426
br=swing_low|ex=macd_or_target|add=None|tgt=0.05,19,0.21052631578947367,-0.011826292443331665,-0.013762116009565272,-0.22469955642330164,0.49125838705315134,0.054244403667251424,-0.029445144739487162,0.13412767103087714,-0.06986379136327589,10.894736842105264,0.0,swing_low,macd_or_target,,0.05,-0.20364692484435426
br=swing_low|ex=macd_or_target|add=None|tgt=0.08,19,0.21052631578947367,-0.012464073259324568,-0.013762116009565272,-0.2368173919271668,0.46382243089110503,0.05121494479128513,-0.029445144739487162,0.13412767103087714,-0.06986379136327589,11.263157894736842,0.0,swing_low,macd_or_target,,0.08,-0.21576476034821943
br=both|ex=macd_or_target|add=None|tgt=0.08,19,0.21052631578947367,-0.012464073259324568,-0.013762116009565272,-0.2368173919271668,0.46382243089110503,0.05121494479128513,-0.029445144739487162,0.13412767103087714,-0.06986379136327589,11.263157894736842,0.0,both,macd_or_target,,0.08,-0.21576476034821943
br=swing_low|ex=trail_ma20|add=0.03|tgt=None,19,0.10526315789473684,-0.013286308543681898,-0.01498679525222552,-0.2524398623299561,0.3997793728375511,0.08406929491791164,-0.0247399089509282,0.09897496373773315,-0.08748364953653384,10.789473684210526,0.2631578947368421,swing_low,trail_ma20,0.03,,-0.2419135465404824
br=both|ex=trail_ma20|add=0.03|tgt=None,19,0.10526315789473684,-0.013286308543681898,-0.01498679525222552,-0.2524398623299561,0.3997793728375511,0.08406929491791164,-0.0247399089509282,0.09897496373773315,-0.08748364953653384,10.789473684210526,0.2631578947368421,both,trail_ma20,0.03,,-0.2419135465404824
br=swing_low|ex=macd_or_ma20|add=None|tgt=None,19,0.15789473684210525,-0.014473985719153546,-0.013762116009565272,-0.27500572866391737,0.21200182135100587,0.024662373145188404,-0.021812053006217656,0.046510630963158994,-0.06986379136327589,8.421052631578947,0.0,swing_low,macd_or_ma20,,,-0.25921625497970685
br=both|ex=macd_or_ma20|add=None|tgt=None,19,0.15789473684210525,-0.014473985719153546,-0.013762116009565272,-0.27500572866391737,0.21200182135100587,0.024662373145188404,-0.021812053006217656,0.046510630963158994,-0.06986379136327589,8.421052631578947,0.0,both,macd_or_ma20,,,-0.25921625497970685
br=ma20|ex=macd_or_target|add=None|tgt=0.05,35,0.2571428571428571,-0.008568961191071534,-0.018982781456953642,-0.2999136416875037,0.5389395906165045,0.03895255660930228,-0.025018717352739393,0.06204998647826381,-0.05403053636733035,12.371428571428572,0.0,ma20,macd_or_target,,0.05,-0.274199355973218
br=swing_low|ex=macd_or_target|add=0.03|tgt=0.05,19,0.21052631578947367,-0.01563891827450774,-0.020642573792066177,-0.29713944721564706,0.3772876145495242,0.04500754917033507,-0.03181130959313249,0.11737383403169976,-0.08748364953653384,10.894736842105264,0.21052631578947367,swing_low,macd_or_target,0.03,0.05,-0.2760868156366997
br=both|ex=macd_or_target|add=0.03|tgt=0.05,19,0.21052631578947367,-0.01563891827450774,-0.020642573792066177,-0.29713944721564706,0.3772876145495242,0.04500754917033507,-0.03181130959313249,0.11737383403169976,-0.08748364953653384,10.894736842105264,0.21052631578947367,both,macd_or_target,0.03,0.05,-0.2760868156366997
br=both|ex=trail_ma20|add=0.05|tgt=None,19,0.10526315789473684,-0.015521500635226768,-0.01498679525222552,-0.29490851206930857,0.3260459071590148,0.07133550665240922,-0.02573997208083101,0.08162027247106655,-0.07162106734845401,10.789473684210526,0.15789473684210525,both,trail_ma20,0.05,,-0.2843821962798349
br=swing_low|ex=trail_ma20|add=0.05|tgt=None,19,0.10526315789473684,-0.015521500635226768,-0.01498679525222552,-0.29490851206930857,0.3260459071590148,0.07133550665240922,-0.02573997208083101,0.08162027247106655,-0.07162106734845401,10.789473684210526,0.15789473684210525,swing_low,trail_ma20,0.05,,-0.2843821962798349
br=ma20|ex=macd_or_target|add=0.03|tgt=0.08,35,0.2571428571428571,-0.008921977963045169,-0.019512958660083263,-0.3122692287065809,0.5435904145506606,0.04132412953814239,-0.026314861328840863,0.1530462731086928,-0.05403053636733035,13.314285714285715,0.22857142857142856,ma20,macd_or_target,0.03,0.08,-0.2865549429922952
br=both|ex=macd_or_target|add=0.03|tgt=0.08,19,0.21052631578947367,-0.01629033163559478,-0.020642573792066177,-0.3095163010763008,0.3513495566303879,0.041913335705171646,-0.03181130959313249,0.11737383403169976,-0.08748364953653384,11.263157894736842,0.21052631578947367,both,macd_or_target,0.03,0.08,-0.2884636694973534
br=swing_low|ex=macd_or_target|add=0.03|tgt=0.08,19,0.21052631578947367,-0.01629033163559478,-0.020642573792066177,-0.3095163010763008,0.3513495566303879,0.041913335705171646,-0.03181130959313249,0.11737383403169976,-0.08748364953653384,11.263157894736842,0.21052631578947367,swing_low,macd_or_target,0.03,0.08,-0.2884636694973534
br=ma20|ex=macd_or_vol|add=None|tgt=None,35,0.2857142857142857,-0.009110609767383954,-0.01861574717884418,-0.31887134185843835,0.48515184603979783,0.030047892560525185,-0.02477401069854761,0.08895034602076125,-0.05403053636733035,12.885714285714286,0.0,ma20,macd_or_vol,,,-0.29029991328700977
br=both|ex=macd_or_target|add=0.05|tgt=0.05,19,0.21052631578947367,-0.01661345812762878,-0.013762116009565272,-0.31565570442494684,0.2853248365898063,0.03150536666684013,-0.029445144739487162,0.07174587634421478,-0.06986379136327589,10.894736842105264,0.10526315789473684,both,macd_or_target,0.05,0.05,-0.29460307284599946
