date,S0_always_short,S1_below_ma20,S2_below_ma60,S3_below_ma60_down,S4_below_ma120_down,S5_death_cross,S6_break_ll20,S7_ma60_down_and_ll20,S8_ret60_neg_ma60,S9_rsi_overbought_short,S10_vol_expand_ma60
2016-07-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-05,1.002283371958285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-06,1.018698978352305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-07,1.0073907941334677,0.9887493859234767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-11,0.9869182412043362,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-12,0.9822864133781711,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-13,0.9804957579590017,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-14,0.9782655845074856,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-15,0.9673873333691975,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-18,0.9579425238076308,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9900867859948378,1.0
2016-07-19,0.9542163637350295,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9862355926730086,1.0
2016-07-20,0.9573854649098387,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9895110346945065,1.0
2016-07-21,0.9507324836472955,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9826348091676,1.0
2016-07-22,0.9569761631369649,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.989087998586666,1.0
2016-07-25,0.9606217866155818,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988939635386878,1.0
2016-07-26,0.9526265091204124,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988939635386878,1.0
2016-07-27,0.9514576422380561,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.988939635386878,1.0
2016-07-28,0.9509276413232622,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9882404145198973,1.0
2016-07-29,0.9602452710344801,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9979236520744849,1.0
2016-08-01,0.9442645783421263,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-02,0.9469800831576218,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-03,0.9555937677742525,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-04,0.9515287769340619,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-05,0.941770595295679,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-08,0.936263164913833,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-09,0.936057753951807,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-10,0.933285922480355,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-11,0.9394091762090396,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-12,0.9347560762718456,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-15,0.935267990880976,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-16,0.9390603104056442,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-17,0.9393728096769938,0.9886010735155882,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-18,0.9362457364090944,0.9851618343748153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-19,0.9461859698414403,0.9850140600996591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-22,0.9518973539652317,0.9908120669047267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-23,0.9420486633933917,0.9805607499731888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-24,0.9449847010798359,0.9836168164245744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-25,0.9327450600207402,0.9708768040635594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-26,0.9319225335127854,0.9707311725429498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-29,0.9358226498424644,0.9707311725429498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-30,0.9364436336844303,0.9707311725429498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-08-31,0.9426617189014583,0.9770313209848833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-09-01,0.9463374274756062,0.9808410465012014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-09-02,0.9473958520673471,0.9819380614285039,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-09-05,0.933499439949911,0.9675349838283323,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-09-06,0.9244343383481021,0.967389853580758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-09-07,0.9140281375994841,0.967389853580758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-09-08,0.9154110830146353,0.967389853580758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-09-09,0.9265081759140442,0.967389853580758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-09-10,0.9441714193246988,0.967389853580758,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-09-12,0.9498661871839118,0.9730795548975785,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-09-13,0.9491190174670573,0.9723141254241227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-09-14,0.9525292811723061,0.9758077310847528,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
2016-09-19,0.9227962846786472,0.9453481027874261,0.9686352152355194,1.0,1.0,1.0,1.0,1.0,1.0,0.9977739635266737,1.0
