year,bh,st,exp
2016,0.10106709250912371,-0.0999498605471365,0.992
2017,0.18968376622439842,-0.1655451625792026,1.0
2018,-0.04459779061993696,0.018466752336972814,1.0
2019,0.3063606917575359,-0.24321530768922162,1.0
2020,0.33552326534821275,-0.29065338724465284,1.0
2021,0.25350456727060866,-0.22753158839844256,1.0
2022,-0.1991795726189186,0.20019229175977338,1.0
2023,0.24355970302133367,-0.2074999824134942,1.0
2024,0.28804608782071717,-0.26052878814315217,1.0
2025,0.3155112201249364,-0.28405707637580535,1.0
2026,0.554731672367462,-0.401517311648687,1.0
