year,bh,st,exp
2016,0.10106709250912371,0.0,0.0
2017,0.18968376622439842,0.0,0.0
2018,-0.04459779061993696,-0.03727484594671049,0.3684210526315789
2019,0.3063606917575359,-0.04819705776587535,0.1115702479338843
2020,0.33552326534821275,-0.15497270691449738,0.22040816326530613
2021,0.25350456727060866,-0.04630832073497271,0.07377049180327869
2022,-0.1991795726189186,-0.010545432317148107,0.6260162601626016
2023,0.24355970302133367,-0.011225363189698245,0.012552301255230125
2024,0.28804608782071717,0.0,0.0
2025,0.3155112201249364,-0.11801415308384966,0.2222222222222222
2026,0.554731672367462,0.0,0.0
