year,bh,st,exp
2016,0.10106709250912371,-0.031889962845709996,0.016
2017,0.18968376622439842,-0.014073396971492236,0.028455284552845527
2018,-0.04459779061993696,-0.009217110830305408,0.04048582995951417
2019,0.3063606917575359,-0.014449845630165603,0.03305785123966942
2020,0.33552326534821275,0.049164111800418686,0.036734693877551024
2021,0.25350456727060866,0.021778927698529404,0.040983606557377046
2022,-0.1991795726189186,-0.04521541814391772,0.11788617886178862
2023,0.24355970302133367,-0.02004791666821082,0.03347280334728033
2024,0.28804608782071717,0.019174764871032313,0.028925619834710745
2025,0.3155112201249364,-0.034642241887700265,0.0411522633744856
2026,0.554731672367462,0.03386485543026829,0.018404907975460124
