year,bh,st,exp
2016,0.10106709250912371,-0.03943808559971351,0.128
2017,0.18968376622439842,-0.01857057087762537,0.04878048780487805
2018,-0.04459779061993696,-0.0397007926689138,0.5263157894736842
2019,0.3063606917575359,-0.13470380624941403,0.30991735537190085
2020,0.33552326534821275,-0.0044791276352155185,0.24897959183673468
2021,0.25350456727060866,-0.1287406715225814,0.28688524590163933
2022,-0.1991795726189186,0.07292906345512717,0.6829268292682927
2023,0.24355970302133367,-0.0824447972341571,0.28870292887029286
2024,0.28804608782071717,-0.08864483452157057,0.2066115702479339
2025,0.3155112201249364,-0.004807630537149832,0.20987654320987653
2026,0.554731672367462,-0.08538794217045997,0.1165644171779141
