year,bh,st,exp
2016,0.10106709250912371,-0.0433805897100249,0.024
2017,0.18968376622439842,-0.04841259874417747,0.052845528455284556
2018,-0.04459779061993696,-0.042403735044603486,0.02834008097165992
2019,0.3063606917575359,-0.02365357213967545,0.10743801652892562
2020,0.33552326534821275,-0.07430528332526865,0.061224489795918366
2021,0.25350456727060866,-0.08312636066140167,0.040983606557377046
2022,-0.1991795726189186,-0.01289038772366169,0.008130081300813009
2023,0.24355970302133367,-0.03480422784443593,0.12133891213389121
2024,0.28804608782071717,-0.031090371002689188,0.012396694214876033
2025,0.3155112201249364,-0.005169744546741684,0.00411522633744856
2026,0.554731672367462,-0.08215330741711246,0.018404907975460124
