year,bh,st,exp
2016,0.10106709250912371,-0.014860899830097085,0.008
2017,0.18968376622439842,-0.04277230690390199,0.036585365853658534
2018,-0.04459779061993696,-0.03141128647011415,0.024291497975708502
2019,0.3063606917575359,-0.027699956790605995,0.10330578512396695
2020,0.33552326534821275,-0.06472022214243389,0.053061224489795916
2021,0.25350456727060866,-0.0700951861898308,0.03278688524590164
2022,-0.1991795726189186,-0.015843744875886467,0.0040650406504065045
2023,0.24355970302133367,-0.03763951468738613,0.11297071129707113
2024,0.28804608782071717,0.0,0.0
2025,0.3155112201249364,0.0,0.0
2026,0.554731672367462,-0.04100586150834862,0.006134969325153374
