year,bh,st,exp
2016,0.10106709250912371,-0.05945652031643822,0.088
2017,0.18968376622439842,-0.013697334657946647,0.036585365853658534
2018,-0.04459779061993696,-0.08418670897381475,0.4331983805668016
2019,0.3063606917575359,-0.05894634668022647,0.10330578512396695
2020,0.33552326534821275,-0.01868501690525448,0.17551020408163265
2021,0.25350456727060866,-0.10685096219479806,0.14344262295081966
2022,-0.1991795726189186,0.03763844198394839,0.6544715447154471
2023,0.24355970302133367,-0.00409833956754746,0.15481171548117154
2024,0.28804608782071717,-0.08620276195557475,0.049586776859504134
2025,0.3155112201249364,-0.060840708502245655,0.19753086419753085
2026,0.554731672367462,0.0,0.0
