year,bh,st,exp
2016,0.10106709250912371,-0.06364429165629237,0.088
2017,0.18968376622439842,-0.010734601744994854,0.04065040650406504
2018,-0.04459779061993696,-0.05808594218906382,0.4574898785425101
2019,0.3063606917575359,-0.07199264764883817,0.12396694214876033
2020,0.33552326534821275,-0.07543394777176982,0.2
2021,0.25350456727060866,-0.1575788830448055,0.1762295081967213
2022,-0.1991795726189186,0.02433896508579725,0.6626016260162602
2023,0.24355970302133367,-0.03007535515166737,0.17154811715481172
2024,0.28804608782071717,-0.19222095413591067,0.07024793388429752
2025,0.3155112201249364,-0.028289782419685494,0.2139917695473251
2026,0.554731672367462,-0.08213897401496928,0.012269938650306749
