done 2408
done 2344
done 2337

=== 單檔正期望 (n>=100) TOP 20 ===
symbol  orb_m exit_type   tp   sl  breakeven_ticks   n  win_rate  avg_pnl  total_pnl       pf
  2408     15  orb_stop 區間停損 區間停損          11.6025 707  0.483734 0.001394   0.985638 1.178934
  2408     10  orb_stop 區間停損 區間停損          11.6025 774  0.475452 0.001026   0.794467 1.125104
  2408      5  orb_stop 區間停損 區間停損          11.6025 901  0.449501 0.000613   0.552749 1.071942

=== 2408 TOP 5 ===
 orb_m exit_type     tp     sl    n  win_rate   avg_pnl       pf
    15  orb_stop   區間停損   區間停損  707  0.483734  0.001394 1.178934
    10  orb_stop   區間停損   區間停損  774  0.475452  0.001026 1.125104
     5  orb_stop   區間停損   區間停損  901  0.449501  0.000613 1.071942
    15       pct +0.60% -0.30% 7035  0.364321 -0.001738 0.553726
    10       pct +0.60% -0.30% 7836  0.365110 -0.001738 0.555775

=== 2344 TOP 5 ===
 orb_m exit_type   tp   sl     n  win_rate   avg_pnl       pf
    10  orb_stop 區間停損 區間停損   796  0.430905 -0.001788 0.795257
     5  orb_stop 區間停損 區間停損   919  0.413493 -0.001791 0.798103
    15  orb_stop 區間停損 區間停損   718  0.442897 -0.001804 0.787184
     5      tick +10檔  -6檔 14215  0.394865 -0.001914 0.380984
    10      tick +10檔  -6檔 12111  0.384857 -0.001948 0.370453

=== 2337 TOP 5 ===
 orb_m exit_type   tp   sl     n  win_rate   avg_pnl       pf
    10  orb_stop 區間停損 區間停損   754  0.425729 -0.000907 0.888605
    15  orb_stop 區間停損 區間停損   680  0.433824 -0.000911 0.884576
     5  orb_stop 區間停損 區間停損   897  0.393534 -0.001281 0.848035
     5      tick  +4檔  -2檔 27641  0.394233 -0.001921 0.224447
     5      tick +10檔  -6檔 12241  0.437219 -0.001930 0.412070

=== 高振幅池合併 TOP 15 ===
 orb_m exit_type   tp   sl     n  win_rate   avg_pnl
    15  orb_stop 區間停損 區間停損  2105  0.453682 -0.000442
    10  orb_stop 區間停損 區間停損  2324  0.444062 -0.000565
     5  orb_stop 區間停損 區間停損  2717  0.418844 -0.000825
     5      tick +10檔  -6檔 53204  0.367341 -0.001865
    10      tick +10檔  -6檔 45717  0.361704 -0.001882
    15      tick +10檔  -6檔 41003  0.360071 -0.001892
     5      tick  +4檔  -2檔 91911  0.334552 -0.001896
     5      tick +12檔  -6檔 45988  0.395842 -0.001904
     5      tick  +5檔  -3檔 87268  0.322524 -0.001913
     5      tick  +5檔  -2檔 87268  0.322524 -0.001913
    10      tick  +4檔  -2檔 79454  0.327133 -0.001920
    10      tick +12檔  -6檔 39418  0.391598 -0.001922
    15      tick  +4檔  -2檔 71182  0.323888 -0.001934
    10      tick  +5檔  -3檔 75439  0.315394 -0.001937
    10      tick  +5檔  -2檔 75439  0.315394 -0.001937

=== 全部標的合併 TOP 15 ===
 orb_m exit_type   tp   sl     n  win_rate   avg_pnl
    15  orb_stop 區間停損 區間停損  2105  0.453682 -0.000442
    10  orb_stop 區間停損 區間停損  2324  0.444062 -0.000565
     5  orb_stop 區間停損 區間停損  2717  0.418844 -0.000825
     5      tick +10檔  -6檔 53204  0.367341 -0.001865
    10      tick +10檔  -6檔 45717  0.361704 -0.001882
    15      tick +10檔  -6檔 41003  0.360071 -0.001892
     5      tick  +4檔  -2檔 91911  0.334552 -0.001896
     5      tick +12檔  -6檔 45988  0.395842 -0.001904
     5      tick  +5檔  -3檔 87268  0.322524 -0.001913
     5      tick  +5檔  -2檔 87268  0.322524 -0.001913
    10      tick  +4檔  -2檔 79454  0.327133 -0.001920
    10      tick +12檔  -6檔 39418  0.391598 -0.001922
    15      tick  +4檔  -2檔 71182  0.323888 -0.001934
    10      tick  +5檔  -3檔 75439  0.315394 -0.001937
    10      tick  +5檔  -2檔 75439  0.315394 -0.001937
