orb_m,exit_type,tp,sl,n,win_rate,avg_pnl
15,orb_stop,區間停損,區間停損,2105,0.45368171021377673,-0.000441572709517979
10,orb_stop,區間停損,區間停損,2324,0.4440619621342513,-0.0005646959560464355
5,orb_stop,區間停損,區間停損,2717,0.4188443135811557,-0.0008251353063767098
5,tick,+10檔,-6檔,53204,0.3673408014435005,-0.0018649502894881407
10,tick,+10檔,-6檔,45717,0.3617035238532712,-0.0018820469597534638
15,tick,+10檔,-6檔,41003,0.3600712143013926,-0.0018922829893653456
5,tick,+4檔,-2檔,91911,0.3345519034718369,-0.001895553560636605
5,tick,+12檔,-6檔,45988,0.39584239366791335,-0.0019041966822861433
5,tick,+5檔,-3檔,87268,0.3225237200348352,-0.0019125038028595155
5,tick,+5檔,-2檔,87268,0.3225237200348352,-0.0019125038028595155
10,tick,+4檔,-2檔,79454,0.3271326805447177,-0.001920214701285225
10,tick,+12檔,-6檔,39418,0.3915977472220813,-0.0019223898954831543
15,tick,+4檔,-2檔,71182,0.32388806158860384,-0.0019344501871418189
10,tick,+5檔,-3檔,75439,0.31539389440475085,-0.0019374143195440595
10,tick,+5檔,-2檔,75439,0.31539389440475085,-0.0019374143195440595
15,tick,+12檔,-6檔,35280,0.39121315192743766,-0.0019376992397628925
15,tick,+5檔,-2檔,67673,0.31263576315517266,-0.0019507915978425004
15,tick,+5檔,-3檔,67673,0.31263576315517266,-0.0019507915978425004
5,pct,+0.20%,-0.10%,73476,0.400171484566389,-0.001951978491504674
5,tick,+8檔,-5檔,66248,0.3255796401400797,-0.001961703565853021
5,tick,+10檔,-5檔,63834,0.31812200394773943,-0.001973934192259474
10,pct,+0.20%,-0.10%,63419,0.3937778899068103,-0.0019823815209410694
10,tick,+8檔,-5檔,57138,0.31845706885085234,-0.001987671638606454
5,tick,+6檔,-3檔,69118,0.3159958332127666,-0.0019911963198092934
5,tick,+8檔,-4檔,69118,0.3159958332127666,-0.0019911963198092934
5,tick,+6檔,-4檔,69118,0.3159958332127666,-0.0019911963198092934
10,tick,+10檔,-5檔,55075,0.3113209260099864,-0.002000433121495585
15,tick,+8檔,-5檔,51224,0.3165313134468218,-0.002000757110547356
15,pct,+0.20%,-0.10%,56743,0.39106145251396646,-0.002001322954931114
15,tick,+10檔,-5檔,49429,0.30931234700277166,-0.002016188320365368
10,tick,+6檔,-3檔,59734,0.3086684300398433,-0.0020202560199808752
10,tick,+6檔,-4檔,59734,0.3086684300398433,-0.0020202560199808752
10,tick,+8檔,-4檔,59734,0.3086684300398433,-0.0020202560199808752
5,pct,+0.30%,-0.15%,54890,0.36059391510293315,-0.0020351762118750055
15,tick,+6檔,-4檔,53556,0.3067069982821719,-0.0020356580346174062
15,tick,+6檔,-3檔,53556,0.3067069982821719,-0.0020356580346174062
15,tick,+8檔,-4檔,53556,0.3067069982821719,-0.0020356580346174062
5,pct,+0.40%,-0.20%,40408,0.34837160958226093,-0.002055656083886905
5,pct,+0.60%,-0.30%,25209,0.34285374271093655,-0.00206152203969431
10,pct,+0.30%,-0.15%,47307,0.35485234743272664,-0.0020684177381014544
10,pct,+0.40%,-0.20%,34698,0.34399677214825064,-0.0020794623072506696
5,pct,+0.50%,-0.25%,31621,0.33986907434932484,-0.002080235407485988
10,pct,+0.60%,-0.30%,21615,0.33944020356234095,-0.0020818132331806424
15,pct,+0.30%,-0.15%,42179,0.3527110647478603,-0.0020882667042148996
15,pct,+0.40%,-0.20%,30948,0.3423807677394339,-0.002098586892763845
10,pct,+0.50%,-0.25%,27124,0.3360492552720838,-0.0021055939640912654
15,pct,+0.60%,-0.30%,19257,0.336708729293244,-0.002107959741346007
15,pct,+0.50%,-0.25%,24119,0.3340105311165471,-0.00212573455650472
