strategy,param,fee_profile,n,win_rate,avg_pnl,total_pnl,median_pnl,profit_factor
mm_spread,spread=1tick,standard_1425,1215,0.0,-0.00263696142055524,-3.2039081259746167,-0.0025472449288526187,0.0
mm_spread,spread=2tick,standard_1425,361,0.0,-0.002648604778621757,-0.9561463250824542,-0.0022448562783660177,0.0
mm_spread,spread=3tick,standard_1425,273,0.0,-0.002661769424634112,-0.7266630529251126,-0.001952065249925138,0.0
mm_spread,spread=4tick,standard_1425,224,0.0,-0.0026676480819726295,-0.5975531703618691,-0.0019341087627484834,0.0
mm_spread,spread=5tick,standard_1425,201,0.0,-0.002653223157583526,-0.5332978546742888,-0.0022520926756353955,0.0
vwap_revert,z=0.0005,standard_1425,396,0.10858585858585859,-0.0020206052919130462,-0.8001596955975663,-0.002245587790873281,0.09833229167358706
vwap_revert,z=0.0010,standard_1425,145,0.2206896551724138,-0.0014524394604704216,-0.21060372176821113,-0.0019431076178959754,0.24447989483937613
vwap_revert,z=0.0015,standard_1425,64,0.296875,-0.0009025354303915686,-0.05776226754506039,-0.00163398272919071,0.4349772861414801
vwap_revert,z=0.0020,standard_1425,23,0.5652173913043478,0.00020675138062165507,0.004755281754298067,0.0013353074825809069,1.167562472974161
orb,orb=5m,standard_1425,369,0.032520325203252036,-0.0029597116319732483,-1.0921335921981286,-0.003157787011388277,0.009626292050441954
orb,orb=10m,standard_1425,207,0.03864734299516908,-0.0028560490563108677,-0.5912021546563496,-0.0031579765937788115,0.013543031115381094
orb,orb=15m,standard_1425,158,0.04430379746835443,-0.002780543409565284,-0.43932585871131485,-0.00285,0.014312983457880362
orb,orb=30m,standard_1425,126,0.03968253968253968,-0.0027795473861826235,-0.35022297065901054,-0.00285,0.013288510090885802
mean_revert_band,"lb=10,band=2tick",standard_1425,70,0.014285714285714285,-0.0027381924947036725,-0.19167347462925707,-0.002548749258103746,0.0010263313726406754
